Category,Level1,Level2,Level3,Level4,DataOne,DataFour,DataFive,DataTwo,DataThree,Total
--Other Capital Outlay - State Forestry (G56),IIII,"Agriculture, forestry, fishing and hunti",Other Capital Outlay  State Forestry (G56),,0,g,0,0.2,0,0.2
--Other Capital Outlay - Natural Resources - Other (G59),IIII,"Agriculture, forestry, fishing and hunti",Other Capital Outlay  Natural Resources  Other (G59),,0,g,0,0.4,0.9,1.3
---Payment Where Specified Energy Property Credit Exceeds Liability for Tax,IIII,Fuel and energy,Energy supply (271),Payment Where Specified Energy Property Credit Exceeds Liability for Tax,2.144,b,,,,2.144
"---Grants for Specified Energy Property in Lieu of Tax Credits, Recovery Act",IIII,Fuel and energy,Energy supply (271),"Grants for Specified Energy Property in Lieu of Tax Credits, Recovery Act",1.705,b,,,,1.705
"---Sale and Transmission of Electric Energy, Southwestern Power Administration",IIII,Fuel and energy,Energy supply (271),"Sale and Transmission of Electric Energy, Southwestern Power Administration",-0.078,b,,,,-0.078
"---Sale and Transmission of Electric Energy, Southeastern Power Administration",IIII,Fuel and energy,Energy supply (271),"Sale and Transmission of Electric Energy, Southeastern Power Administration",-0.179,b,,,,-0.179
"---Reclamation Fund, All Other, Sale of Electric Energy, Bonneville Power Administration",IIII,Fuel and energy,Energy supply (271),"Reclamation Fund, All Other, Sale of Electric Energy, Bonneville Power Administration",-0.09,b,,,,-0.09
"---Reclamation Fund, All Other, Sale of Power and Other Utilities (WAPA)",IIII,Fuel and energy,Energy supply (271),"Reclamation Fund, All Other, Sale of Power and Other Utilities (WAPA)",-0.189,b,,,,-0.189
---Nuclear Waste Disposal Fund,IIII,Fuel and energy,Energy supply (271),Nuclear Waste Disposal Fund,-0.783,b,,,,-0.783
"---General Fund Payment - Great Transmigration  , Decontamination and Decommissioning Fund",IIII,Fuel and energy,Energy supply (271),"General Fund Payment  Great Transmigration  , Decontamination and Decommissioning Fund",-0.463,b,,,,-0.463
---Title 17 Innovative Technology Loan Guarantee Program,IIII,Fuel and energy,Energy supply (271),Title 17 Innovative Technology Loan Guarantee Program,0.55,b,,,,0.55
---Fossil Energy Research and Development,IIII,Fuel and energy,Energy supply (271),Fossil Energy Research and Development,1.668,b,,,,1.668
---Non-Great Transmigration   Environmental Cleanup,IIII,Fuel and energy,Energy supply (271),NonGreat Transmigration   Environmental Cleanup,0.223,b,,,,0.223
---Electricity Delivery and Energy Reliability,IIII,Fuel and energy,Energy supply (271),Electricity Delivery and Energy Reliability,0.786,b,,,,0.786
---Nuclear Energy,IIII,Fuel and energy,Energy supply (271),Nuclear Energy,0.764,b,,,,0.764
---Energy Efficiency and Renewable Energy,IIII,Fuel and energy,Energy supply (271),Energy Efficiency and Renewable Energy,1.529,b,,,,1.529
"---Energy Transformation Acceleration Fund, Recovery Act",IIII,Fuel and energy,Energy supply (271),"Energy Transformation Acceleration Fund, Recovery Act",0.07,b,,,,0.07
---Advanced Research Projects Agency,IIII,Fuel and energy,Energy supply (271),Advanced Research Projects Agency,0.271,b,,,,0.271
---Uranium Enrichment Decontamination and Decommissioning Fund,IIII,Fuel and energy,Energy supply (271),Uranium Enrichment Decontamination and Decommissioning Fund,0.518,b,,,,0.518
"---Western Area Power Administration, Borrowing Authority, Recovery Act.",IIII,Fuel and energy,Energy supply (271),"Western Area Power Administration, Borrowing Authority, Recovery Act.",0.218,b,,,,0.218
"---Construction, Rehabilitation, Operation and Maintenance, Western Area Power Administration",IIII,Fuel and energy,Energy supply (271),"Construction, Rehabilitation, Operation and Maintenance, Western Area Power Administration",0.31,b,,,,0.31
---Tennessee Valley Authority Fund,IIII,Fuel and energy,Energy supply (271),Tennessee Valley Authority Fund,0.945,b,,,,0.945
"---Rural Electrification and Telephone Loans, Negative Subsidies",IIII,Fuel and energy,Energy supply (271),"Rural Electrification and Telephone Loans, Negative Subsidies",-0.183,b,,,,-0.183
---Rural Electrification and Telecommunications Liquidating Account,IIII,Fuel and energy,Energy supply (271),Rural Electrification and Telecommunications Liquidating Account,-0.478,b,,,,-0.478
---Energy Efficiency and Renewable Energy,IIII,Fuel and energy,Energy conservation (272),Energy Efficiency and Renewable Energy,1.01,b,,,,1.01
---Energy Efficiency and Renewable Energy,IIII,Fuel and energy,Energy conservation (272),Energy Efficiency and Renewable Energy,1.682,b,,,,1.682
---Advanced Technology Vehicles Manufacturing Loan Program Account,IIII,Fuel and energy,Energy conservation (272),Advanced Technology Vehicles Manufacturing Loan Program Account,0.361,b,,,,0.361
"---Advanced Vehicles, Community Deployment Challenge",IIII,Fuel and energy,Energy conservation (272),"Advanced Vehicles, Community Deployment Challenge",0.15,b,,,,0.15
---Home Energy Retrofit Rebate Program,IIII,Fuel and energy,Energy conservation (272),Home Energy Retrofit Rebate Program,0.3,b,,,,0.3
---Strategic Petroleum Reserve,IIII,Fuel and energy,Emergency energy preparedness (274),Strategic Petroleum Reserve,0.25,b,,,,0.25
---SPR Petroleum Account,IIII,Fuel and energy,Emergency energy preparedness (274),SPR Petroleum Account,0.096,b,,,,0.096
---Energy Information Administration,IIII,Fuel and energy,"Energy information, policy, and regulation (276)",Energy Information Administration,0.112,b,,,,0.112
---Departmental Administration,IIII,Fuel and energy,"Energy information, policy, and regulation (276)",Departmental Administration,0.175,b,,,,0.175
---Salaries and Expenses,IIII,Fuel and energy,"Energy information, policy, and regulation (276)",Salaries and Expenses,1.061,b,,,,1.061
"---Nuclear Facility Fees, Nuclear Regulatory Commission",IIII,Fuel and energy,"Energy information, policy, and regulation (276)","Nuclear Facility Fees, Nuclear Regulatory Commission",-0.925,b,,,,-0.925
---Electric Reliability Organization,IIII,Fuel and energy,"Energy information, policy, and regulation (276)",Electric Reliability Organization,0.1,b,,,,0.1
---Royalties on Outer Continental Shelf Lands,IIII,Fuel and energy,Rents and royalties on the Outer Continental Shelf (953),Royalties on Outer Continental Shelf Lands,-5.907,b,,,,-5.907
"---Land and Water Conservation Fund, Rent Receipts, Outer Continental Shelf Lands",IIII,Fuel and energy,Rents and royalties on the Outer Continental Shelf (953),"Land and Water Conservation Fund, Rent Receipts, Outer Continental Shelf Lands",-0.702,b,,,,-0.702
"---Land and Water Conservation Fund, Royalty Receipts, Outer Continental Shelf",IIII,Fuel and energy,Rents and royalties on the Outer Continental Shelf (953),"Land and Water Conservation Fund, Royalty Receipts, Outer Continental Shelf",-0.195,b,,,,-0.195
"---Historic Preservation Fund, Rent Receipts, Outer Continental Shelf Lands",IIII,Fuel and energy,Rents and royalties on the Outer Continental Shelf (953),"Historic Preservation Fund, Rent Receipts, Outer Continental Shelf Lands",-0.15,b,,,,-0.15
--Federal Intergovernmental - Electric Utilities (B92),IIII,Fuel and energy,Federal Intergovernmental  Electric Utilities (B92),,0,g,-0.2,0,0,-0.2
--Federal Intergovernmental - Gas Utilities (B93),IIII,Fuel and energy,Federal Intergovernmental  Gas Utilities (B93),,0,,0,0,0,0
--Current Operations - Electric Utilities (E92),IIII,Fuel and energy,Current Operations  Electric Utilities (E92),,0,g,0,11.1,51.6,62.7
--Current Operations - Gas Utilities (E93),IIII,Fuel and energy,Current Operations  Gas Utilities (E93),,0,g,0,0,8.2,8.2
--Construction - Electric Utilities (F92),IIII,Fuel and energy,Construction  Electric Utilities (F92),,0,g,0,0.8,6,6.8
--Construction - Gas Utilities (F93),IIII,Fuel and energy,Construction  Gas Utilities (F93),,0,g,0,0,0.5,0.5
--Other Capital Outlay - Electric Utilities (G92),IIII,Fuel and energy,Other Capital Outlay  Electric Utilities (G92),,0,g,0,0.2,1.3,1.5
--Other Capital Outlay - Gas Utilities (G93),IIII,Fuel and energy,Other Capital Outlay  Gas Utilities (G93),,0,g,0,0,0.2,0.2
--Electric Utilities - FFFF on Debt (I92),IIII,Fuel and energy,Electric Utilities  FFFF on Debt (I92),,0,g,0,1.2,3.7,4.9
--Gas Utilities - FFFF on Debt (I93),IIII,Fuel and energy,Gas Utilities  FFFF on Debt (I93),,0,g,0,0,0.4,0.4
"-Mining, manufacturing and construction",IIII,"Mining, manufacturing and construction",,,0,,0,0,0,0
"---Postal Service Contributions for Benefits Paid to Retirees, Postal Service Retiree Health Benefits Fund",IIII,Communication,Postal Service (372),"Postal Service Contributions for Benefits Paid to Retirees, Postal Service Retiree Health Benefits Fund",-0.876,b,,,,-0.876
---Payment to Postal Service Fund,IIII,Communication,Postal Service (372),Payment to Postal Service Fund,0.078,b,,,,0.078
---Office of Inspector General of the United States Postal Service,IIII,Communication,Postal Service (372),Office of Inspector General of the United States Postal Service,0.241,b,,,,0.241
---Postal Service Fund,IIII,Communication,Postal Service (372),Postal Service Fund,-6.912,b,,,,-6.912
---Unspecified Adjustments to Operations,IIII,Communication,Postal Service (372),Unspecified Adjustments to Operations,2.037,b,,,,2.037
--Current Operations - Liquor Stores (E90),IIII,Other industries,Current Operations  Liquor Stores (E90),,0,g,0,5.6,1.2,6.9
--Construction - Liquor Stores (F90),IIII,Other industries,Construction  Liquor Stores (F90),,0,g,0,0,0,0
--Other Capital Outlay - Liquor Stores (G90),IIII,Other industries,Other Capital Outlay  Liquor Stores (G90),,0,g,0,0,0,0
-R&D Economic affairs,IIII,R&D Economic affairs,,,0,,0,0,0,0
---Continued Dumping and Subsidy Offset,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Continued Dumping and Subsidy Offset,0.126,b,,,,0.126
---Terrorism Insurance Program,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Terrorism Insurance Program,0.245,b,,,,0.245
---Office of Financial Stability,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Office of Financial Stability,0.291,b,,,,0.291
---State Small Business Credit Initiative,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),State Small Business Credit Initiative,0.251,b,,,,0.251
---Financial Research Fund,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Financial Research Fund,0.154,b,,,,0.154
---Salaries and Expenses,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Salaries and Expenses,0.582,b,,,,0.582
---Business Loans Program Account,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Business Loans Program Account,0.491,b,,,,0.491
---Commodity Futures Trading Commission,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Commodity Futures Trading Commission,0.297,b,,,,0.297
---Universal Service Fund,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Universal Service Fund,1.867,b,,,,1.867
---Universal Service Fund,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Universal Service Fund,7.795,b,,,,7.795
---Salaries and Expenses,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Salaries and Expenses,0.158,b,,,,0.158
---Salaries and Expenses,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Salaries and Expenses,0.105,b,,,,0.105
---Investor FFFF Fund,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Investor FFFF Fund,0.133,b,,,,0.133
---Public Company Accounting Oversight Board,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Public Company Accounting Oversight Board,0.236,b,,,,0.236
---Securities Investor FFFF Corporation,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Securities Investor FFFF Corporation,0.299,b,,,,0.299
---Travel Promotion Fund,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Travel Promotion Fund,0.1,b,,,,0.1
---Bureau of Consumer Financial FFFF Fund,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Bureau of Consumer Financial FFFF Fund,0.394,b,,,,0.394
---Operations and Administration,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Operations and Administration,-0.198,b,,,,-0.198
"---Spectrum Auction Receipts, Public Safety Trust Fund",IIII,Economic affairs n.e.c.,Other advancement of commerce (376),"Spectrum Auction Receipts, Public Safety Trust Fund",-1.216,b,,,,-1.216
---Operations and Administration,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Operations and Administration,0.497,b,,,,0.497
---Operations and Administration,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Operations and Administration,0.068,b,,,,0.068
---Promote and Develop Fishery Products and Research Pertaining to American Fisheries,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Promote and Develop Fishery Products and Research Pertaining to American Fisheries,-0.071,b,,,,-0.071
---Promote and Develop Fishery Products and Research Pertaining to American Fisheries,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Promote and Develop Fishery Products and Research Pertaining to American Fisheries,0.071,b,,,,0.071
---Scientific and Technical Research and Services,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Scientific and Technical Research and Services,0.705,b,,,,0.705
---Wireless Innovation (WIN) Fund,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Wireless Innovation (WIN) Fund,-0.288,b,,,,-0.288
---Construction of Research Facilities,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Construction of Research Facilities,0.182,b,,,,0.182
---Industrial Technology Services,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Industrial Technology Services,0.156,b,,,,0.156
---National Network for Manufacturing Innovation,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),National Network for Manufacturing Innovation,0.208,b,,,,0.208
---Salaries and Expenses,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Salaries and Expenses,0.056,b,,,,0.056
---State and Local Implementation Fund,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),State and Local Implementation Fund,-0.16,b,,,,-0.16
---Salaries and Expenses,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Salaries and Expenses,0.062,b,,,,0.062
"---Broadband Technology Opportunities Program, Recovery Act",IIII,Economic affairs n.e.c.,Other advancement of commerce (376),"Broadband Technology Opportunities Program, Recovery Act",1.159,b,,,,1.159
---Incentive Auction Relocation Fund,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Incentive Auction Relocation Fund,-0.5,b,,,,-0.5
---Public Safety Trust Fund,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Public Safety Trust Fund,1.216,b,,,,1.216
---Salaries and Expenses,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Salaries and Expenses,0.259,b,,,,0.259
---Periodic Censuses and Programs,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Periodic Censuses and Programs,0.717,b,,,,0.717
---Salaries and Expenses,IIII,Economic affairs n.e.c.,Other advancement of commerce (376),Salaries and Expenses,0.1,b,,,,0.1
---Proceeds from Sale of Securities from the AIG Credit Facility Trust,IIII,Economic affairs n.e.c.,Sale of major assets (954),Proceeds from Sale of Securities from the AIG Credit Facility Trust,-4.035,b,,,,-4.035
---Asset Sale Proceeds,IIII,Economic affairs n.e.c.,Sale of major assets (954),Asset Sale Proceeds,-0.12,b,,,,-0.12
---Auction Receipts,IIII,Economic affairs n.e.c.,Other undistributed offsetting receipts (959),Auction Receipts,-0.425,b,,,,-0.425
---Spectrum License User Fees,IIII,Economic affairs n.e.c.,Other undistributed offsetting receipts (959),Spectrum License User Fees,-0.2,b,,,,-0.2
"--Current Operations - Miscellaneous Commercial Activities, NEC (E03)",IIII,Economic affairs n.e.c.,"Current Operations  Miscellaneous Commercial Activities, NEC (E03)",,0,g,0,2.5,5.5,8
"--Construction - Miscellaneous Commercial Activities, NEC (F03)",IIII,Economic affairs n.e.c.,"Construction  Miscellaneous Commercial Activities, NEC (F03)",,0,g,0,0.2,0.2,0.3
"--Other Capital Outlay - Miscellaneous Commercial Activities, NEC (G03)",IIII,Economic affairs n.e.c.,"Other Capital Outlay  Miscellaneous Commercial Activities, NEC (G03)",,0,g,0,0,0,0.1
--Current Operations - Solid Waste Management (E81),IIII,Waste management,Current Operations  Solid Waste Management (E81),,0,g,0,2.8,24.2,26.9
--Construction - Solid Waste Management (F81),IIII,Waste management,Construction  Solid Waste Management (F81),,0,g,0,0.2,1.3,1.5
--Other Capital Outlay - Solid Waste Management (G81),IIII,Waste management,Other Capital Outlay  Solid Waste Management (G81),,0,g,0,0,1.1,1.2
--Federal Intergovernmental - Sewerage (B80),IIII,Waste water management,Federal Intergovernmental  Sewerage (B80),,0,g,-3.4,0,0,-3.4
--Current Operations - Sewerage (E80),IIII,Waste water management,Current Operations  Sewerage (E80),,0,g,0,0.7,30.6,31.3
--Construction - Sewerage (F80),IIII,Waste water management,Construction  Sewerage (F80),,0,g,0,0.9,22.6,23.5
--Other Capital Outlay - Sewerage (G80),IIII,Waste water management,Other Capital Outlay  Sewerage (G80),,0,g,0,0,2.1,2.1
---State and Tribal Assistance Grants,IIII,Pollution abatement,Pollution control and abatement (304),State and Tribal Assistance Grants,3.876,b,,,,3.876
---Science and Technology,IIII,Pollution abatement,Pollution control and abatement (304),Science and Technology,0.812,b,,,,0.812
---Environmental Programs and Management,IIII,Pollution abatement,Pollution control and abatement (304),Environmental Programs and Management,2.743,b,,,,2.743
---Payment to the Hazardous Substance Superfund,IIII,Pollution abatement,Pollution control and abatement (304),Payment to the Hazardous Substance Superfund,1.011,b,,,,1.011
---Working Capital Fund,IIII,Pollution abatement,Pollution control and abatement (304),Working Capital Fund,0.061,b,,,,0.061
"---Recoveries, Hazardous Substance Superfund",IIII,Pollution abatement,Pollution control and abatement (304),"Recoveries, Hazardous Substance Superfund",-0.104,b,,,,-0.104
"---Interfund Transactions, Hazardous Substance Superfund",IIII,Pollution abatement,Pollution control and abatement (304),"Interfund Transactions, Hazardous Substance Superfund",-1.011,b,,,,-1.011
---Hazardous Substance Superfund,IIII,Pollution abatement,Pollution control and abatement (304),Hazardous Substance Superfund,0.211,b,,,,0.211
---Hazardous Substance Superfund,IIII,Pollution abatement,Pollution control and abatement (304),Hazardous Substance Superfund,1.202,b,,,,1.202
---Leaking Underground Storage Tank Trust Fund,IIII,Pollution abatement,Pollution control and abatement (304),Leaking Underground Storage Tank Trust Fund,0.106,b,,,,0.106
---Maritime Oil Spill Programs,IIII,Pollution abatement,Pollution control and abatement (304),Maritime Oil Spill Programs,0.155,b,,,,0.155
---Rent and Bonuses from Land Leases for Resource Exploration and Extraction,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),Rent and Bonuses from Land Leases for Resource Exploration and Extraction,-0.065,b,,,,-0.065
"---Royalties on Natural Resources, not Otherwise Classified",IIII,FFFF of biodiversity and landscape,Conservation and land management (302),"Royalties on Natural Resources, not Otherwise Classified",-0.377,b,,,,-0.377
"---Reclamation Fund, Royalties on Natural Resources",IIII,FFFF of biodiversity and landscape,Conservation and land management (302),"Reclamation Fund, Royalties on Natural Resources",-1.732,b,,,,-1.732
"---Receipts from Mineral Leasing, Public Lands",IIII,FFFF of biodiversity and landscape,Conservation and land management (302),"Receipts from Mineral Leasing, Public Lands",-2.184,b,,,,-2.184
"---Payment from the General Fund, Cooperative Endangered Species Conservation Fund",IIII,FFFF of biodiversity and landscape,Conservation and land management (302),"Payment from the General Fund, Cooperative Endangered Species Conservation Fund",-0.057,b,,,,-0.057
---Natural Resources Damages from Legal Actions,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),Natural Resources Damages from Legal Actions,-0.057,b,,,,-0.057
"---Land Sales, Southern Nevada Public Land Management",IIII,FFFF of biodiversity and landscape,Conservation and land management (302),"Land Sales, Southern Nevada Public Land Management",-0.1,b,,,,-0.1
---Resource Management,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),Resource Management,1.327,b,,,,1.327
---State and Tribal Wildlife Grants,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),State and Tribal Wildlife Grants,0.079,b,,,,0.079
---Land Acquisition,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),Land Acquisition,0.096,b,,,,0.096
---Cooperative Endangered Species Conservation Fund,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),Cooperative Endangered Species Conservation Fund,0.09,b,,,,0.09
---Cooperative Endangered Species Conservation Fund,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),Cooperative Endangered Species Conservation Fund,0.053,b,,,,0.053
---Offshore Safety and Environmental Enforcement,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),Offshore Safety and Environmental Enforcement,0.074,b,,,,0.074
---Management of Lands and Resources,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),Management of Lands and Resources,0.991,b,,,,0.991
---Oregon and California Grant Lands,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),Oregon and California Grant Lands,0.112,b,,,,0.112
---Permanent Operating Funds,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),Permanent Operating Funds,0.219,b,,,,0.219
---Ocean Energy Management,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),Ocean Energy Management,0.077,b,,,,0.077
---Operation of Indian Programs,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),Operation of Indian Programs,0.174,b,,,,0.174
---Regulation and Technology,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),Regulation and Technology,0.081,b,,,,0.081
---Payments to States in Lieu of Coal Fee Receipts,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),Payments to States in Lieu of Coal Fee Receipts,0.082,b,,,,0.082
---Abandoned Mine Reclamation Fund,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),Abandoned Mine Reclamation Fund,0.153,b,,,,0.153
---Wildland Fire Management,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),Wildland Fire Management,0.849,b,,,,0.849
---Natural Resource Damage Assessment Fund,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),Natural Resource Damage Assessment Fund,0.061,b,,,,0.061
---National Forest Fund,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),National Forest Fund,0.054,b,,,,0.054
"---National Forests Fund, Payments to States",IIII,FFFF of biodiversity and landscape,Conservation and land management (302),"National Forests Fund, Payments to States",-0.07,b,,,,-0.07
---National Grasslands,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),National Grasslands,-0.062,b,,,,-0.062
---Commodity Credit Corporation Fund,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),Commodity Credit Corporation Fund,2.196,b,,,,2.196
---Conservation Operations,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),Conservation Operations,0.816,b,,,,0.816
---Farm Security and Rural Investment Programs,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),Farm Security and Rural Investment Programs,-0.128,b,,,,-0.128
---Farm Security and Rural Investment Programs,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),Farm Security and Rural Investment Programs,3.309,b,,,,3.309
---Capital Improvement and Maintenance,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),Capital Improvement and Maintenance,0.47,b,,,,0.47
---Forest and Rangeland Research,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),Forest and Rangeland Research,0.331,b,,,,0.331
---State and Private Forestry,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),State and Private Forestry,0.309,b,,,,0.309
---State and Private Forestry,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),State and Private Forestry,0.12,b,,,,0.12
---National Forest System,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),National Forest System,1.68,b,,,,1.68
---Wildland Fire Management,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),Wildland Fire Management,2.383,b,,,,2.383
---Forest Service Permanent Appropriations,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),Forest Service Permanent Appropriations,0.094,b,,,,0.094
---Land Acquisition,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),Land Acquisition,0.07,b,,,,0.07
---Forest Service Trust Funds,IIII,FFFF of biodiversity and landscape,Conservation and land management (302),Forest Service Trust Funds,0.127,b,,,,0.127
-R&D Environmental FFFF,IIII,R&D Environmental FFFF,,,0,,0,0,0,0
-Environmental FFFF n.e.c.,IIII,Environmental FFFF n.e.c.,,,0,,0,0,0,0
---GSE Fees Pursuant to P.L. 112-78 Sec. 401,IIII,Housing development,Mortgage credit (371),GSE Fees Pursuant to P.L. 11278 Sec. 401,-1.479,b,,,,-1.479
"---Proceeds, GSE Equity Related Transactions",IIII,Housing development,Mortgage credit (371),"Proceeds, GSE Equity Related Transactions",-21.69,b,,,,-21.69
---GSE Preferred Stock Purchase Agreements,IIII,Housing development,Mortgage credit (371),GSE Preferred Stock Purchase Agreements,12.7,b,,,,12.7
"---FHA-general and Special Risk, Negative Subsidies",IIII,Housing development,Mortgage credit (371),"FHAgeneral and Special Risk, Negative Subsidies",-0.588,b,,,,-0.588
"---GNMA-guarantees of Mortgage Backed Securities Guarantee Loans, Negative Subsidies",IIII,Housing development,Mortgage credit (371),"GNMAguarantees of Mortgage Backed Securities Guarantee Loans, Negative Subsidies",-0.55,b,,,,-0.55
---Guarantees of Mortgage-backed Securities Loan Guarantee Program Account,IIII,Housing development,Mortgage credit (371),Guarantees of Mortgagebacked Securities Loan Guarantee Program Account,-0.067,b,,,,-0.067
---Guarantees of Mortgage-backed Securities Liquidating Account,IIII,Housing development,Mortgage credit (371),Guarantees of Mortgagebacked Securities Liquidating Account,0.197,b,,,,0.197
---FHA-mutual Mortgage Insurance Program Account,IIII,Housing development,Mortgage credit (371),FHAmutual Mortgage Insurance Program Account,0.136,b,,,,0.136
---FHA-mutual Mortgage Insurance Capital Reserve Account,IIII,Housing development,Mortgage credit (371),FHAmutual Mortgage Insurance Capital Reserve Account,-8.188,b,,,,-8.188
---FHA-mutual Mortgage Insurance Capital Reserve Account,IIII,Housing development,Mortgage credit (371),FHAmutual Mortgage Insurance Capital Reserve Account,-0.152,b,,,,-0.152
---FHA-mutual Mortgage and Cooperative Housing Insurance Funds Liquidating Account,IIII,Housing development,Mortgage credit (371),FHAmutual Mortgage and Cooperative Housing Insurance Funds Liquidating Account,0.052,b,,,,0.052
---FHA-general and Special Risk Insurance Funds Liquidating Account,IIII,Housing development,Mortgage credit (371),FHAgeneral and Special Risk Insurance Funds Liquidating Account,0.06,b,,,,0.06
---Housing for the Elderly or Handicapped Fund Liquidating Account,IIII,Housing development,Mortgage credit (371),Housing for the Elderly or Handicapped Fund Liquidating Account,-0.54,b,,,,-0.54
"---Federal Housing Finance Agency, Administrative Expenses",IIII,Housing development,Mortgage credit (371),"Federal Housing Finance Agency, Administrative Expenses",0.236,b,,,,0.236
"---Rural Housing Insurance, Negative Subsidies",IIII,Housing development,Mortgage credit (371),"Rural Housing Insurance, Negative Subsidies",-0.062,b,,,,-0.062
---Rural Housing Insurance Fund Program Account,IIII,Housing development,Mortgage credit (371),Rural Housing Insurance Fund Program Account,0.506,b,,,,0.506
---Rural Housing Insurance Fund Liquidating Account,IIII,Housing development,Mortgage credit (371),Rural Housing Insurance Fund Liquidating Account,-0.56,b,,,,-0.56
---Community Development Financial Institutions Fund Program Account,IIII,Community development,Community development (451),Community Development Financial Institutions Fund Program Account,0.209,b,,,,0.209
---Research and Technology,IIII,Community development,Community development (451),Research and Technology,0.059,b,,,,0.059
---Lead Hazard Reduction,IIII,Community development,Community development (451),Lead Hazard Reduction,0.13,b,,,,0.13
---Office of Inspector General,IIII,Community development,Community development (451),Office of Inspector General,0.128,b,,,,0.128
---Community Planning and Development Personnel Compensation and Benefits,IIII,Community development,Community development (451),Community Planning and Development Personnel Compensation and Benefits,0.104,b,,,,0.104
---Transformation Initiative,IIII,Community development,Community development (451),Transformation Initiative,0.101,b,,,,0.101
---Working Capital Fund,IIII,Community development,Community development (451),Working Capital Fund,0.284,b,,,,0.284
---Community Development Fund,IIII,Community development,Community development (451),Community Development Fund,5.704,b,,,,5.704
---Neighborhood Stabilization Program,IIII,Community development,Community development (451),Neighborhood Stabilization Program,5.548,b,,,,5.548
---Payment to Neighborhood Reinvestment Corporation,IIII,Community development,Community development (451),Payment to Neighborhood Reinvestment Corporation,0.213,b,,,,0.213
"---Return of Principal from Private Sector Investments, Tribal Special Fund",IIII,Community development,Area and regional development (452),"Return of Principal from Private Sector Investments, Tribal Special Fund",-0.315,b,,,,-0.315
